COUNTY,GORE,BUSH,BUCHANAN,NADER,NELSON,MCCOLLUM,LOGAN,VOTES,Clinton96,Dole96,Perot96,PAle96,PBuc96,PDol96,PDor96,PFor96,PGra96,PKey96,PLug96,PTayl6,PBau00,PBus00,PFor00,PHat00,PKey00,PMcC00
SEMINOLE,58888,75293,194,1940,63037,69865,1377,270594,45051,59778,9357,257,4052,10388,75,4956,55,601,57,12,41,10463,92,18,793,2020
ST JOHNS,19482,39497,229,1214,20558,37275,930,119185,16713,27311,4205,106,1885,5486,32,1850,29,121,27,12,17,6268,37,10,396,1371
ST LUCIE,41559,34705,124,1368,41082,33050,1065,152953,36168,28892,8482,289,3229,9507,67,3838,47,213,66,52,37,6984,89,23,335,2072
SUMTER,9634,12126,114,307,10271,11384,231,44067,7014,5960,2375,37,481,1115,13,426,4,25,4,0,11,1700,18,3,90,332
SUWANNEE,4084,8014,108,182,5544,6797,130,24859,4479,5742,1874,15,376,430,3,106,5,18,1,0,3,628,6,3,57,101
TAYLOR,2647,4051,27,59,3431,3386,105,13706,3583,3188,1140,7,99,151,1,37,6,10,1,0,0,185,7,1,24,43
UNION,1407,2332,29,32,1560,11,23,5394,1388,1636,425,2,45,57,0,10,1,3,0,0,1,79,1,0,13,7
VOLUSIA,97063,82214,396,2436,99135,76033,2554,359831,78905,63067,17319,321,4441,12479,80,4916,62,397,64,26,65,11910,129,29,792,4330
WAKULLA,3835,4511,46,149,4496,3778,131,16946,3054,2931,1091,10,133,184,1,57,0,13,1,0,0,270,2,4,41,105
WALTON,5637,12176,120,265,6842,10295,115,35450,5341,7706,2342,29,546,823,11,235,5,52,0,1,5,1158,9,2,117,263
WASHINGTON,2796,4983,88,93,4065,3661,60,15746,2992,3522,1287,15,190,190,1,30,3,8,0,0,1,182,1,0,22,51
